[ep  183] redandblack  driving_B_2019.12.16_12.27.05.csv@737   reward=QoE=   30.66 eps=0.722 loss=1.8190
[ep  184] soldier      driving_B_2020.01.16_12.10.03.csv@244   reward=QoE=   35.90 eps=0.721 loss=2.1829
[ep  185] longdress    driving_B_2020.02.14_12.58.17.csv@784   reward=QoE= -304.02 eps=0.719 loss=1.7790
[ep  186] loot         static_B_2020.02.27_18.39.27.csv@5742  reward=QoE=   41.65 eps=0.718 loss=1.7217
[ep  187] redandblack  driving_B_2019.12.17_07.32.39.csv@206   reward=QoE=    7.45 eps=0.716 loss=1.9369
[ep  188] soldier      static_B_2019.12.16_13.40.04.csv@360   reward=QoE=   -1.03 eps=0.715 loss=1.8959
[ep  189] longdress    driving_B_2019.12.17_07.32.39.csv@1946  reward=QoE=  -61.20 eps=0.713 loss=1.9873
[ep  190] loot         driving_B_2019.12.16_12.27.05.csv@257   reward=QoE=   23.00 eps=0.711 loss=1.8749
[ep  191] redandblack  driving_B_2019.12.17_07.32.39.csv@2186  reward=QoE=  -27.19 eps=0.710 loss=1.8934
[ep  192] soldier      driving_B_2020.02.14_12.58.17.csv@544   reward=QoE=  -81.16 eps=0.708 loss=1.9854
[ep  193] longdress    static_B_2019.12.16_13.40.04.csv@1680  reward=QoE=   50.38 eps=0.707 loss=1.8435
[ep  194] loot         static_B_2020.02.27_18.39.27.csv@978   reward=QoE=   46.14 eps=0.705 loss=1.9992
[ep  195] redandblack  static_B_2020.02.14_13.21.26.csv@787   reward=QoE=   39.31 eps=0.704 loss=1.9635
[ep  196] soldier      driving_B_2020.01.16_07.26.43.csv@1591  reward=QoE= -117.67 eps=0.702 loss=1.5207
[ep  197] longdress    static_B_2020.02.27_18.39.27.csv@1458  reward=QoE=   50.98 eps=0.701 loss=1.8527
[ep  198] loot         driving_B_2020.02.14_12.58.17.csv@800   reward=QoE=  -56.91 eps=0.699 loss=1.9125
[ep  199] redandblack  static_B_2020.02.27_18.39.27.csv@5718  reward=QoE=   46.57 eps=0.698 loss=1.8395
