episode,sequence,file,offset,reward,qoe,qoe_quality,epsilon,mean_loss
213,longdress,static_B_2020.02.27_18.39.27.csv,1567,10.4936,10.49,10.49,0.9134,3.810602
214,loot,driving_B_2020.02.27_17.30.15.csv,558,-96.8184,-96.82,-96.82,0.9130,3.741404
215,redandblack,static_B_2020.02.27_18.39.27.csv,4207,55.7118,55.71,55.71,0.9126,3.525604
216,soldier,driving_B_2019.12.17_07.32.39.csv,1293,32.6117,32.61,32.61,0.9121,4.011851
217,longdress,static_B_2019.12.16_13.40.04.csv,1681,36.2397,36.24,36.24,0.9117,4.015088
218,loot,static_B_2020.02.27_18.39.27.csv,5407,15.7383,15.74,15.74,0.9113,4.521003
219,redandblack,driving_B_2019.12.17_07.32.39.csv,2013,29.2434,29.24,29.24,0.9109,3.155241
220,soldier,driving_B_2020.02.13_15.02.01.csv,791,20.7359,20.74,20.74,0.9105,3.548271
221,longdress,driving_B_2020.02.13_13.03.24.csv,607,-39.8088,-39.81,-39.81,0.9101,3.858412
222,loot,static_B_2020.02.14_13.21.26.csv,554,52.6651,52.67,52.67,0.9097,4.392558
223,redandblack,driving_B_2020.01.16_07.26.43.csv,1114,24.1996,24.20,24.20,0.9093,3.493895
224,soldier,driving_B_2020.01.16_07.26.43.csv,1474,-107.0994,-107.10,-107.10,0.9089,3.556320
225,longdress,driving_B_2020.02.14_12.58.17.csv,494,-156.3822,-156.38,-156.38,0.9085,3.836288
226,loot,driving_B_2020.02.13_15.02.01.csv,1391,-53.6905,-53.69,-53.69,0.9081,3.740021
227,redandblack,driving_B_2020.02.14_12.58.17.csv,614,-31.4736,-31.47,-31.47,0.9077,3.166242
228,soldier,static_B_2020.02.27_18.39.27.csv,1927,58.3907,58.39,58.39,0.9073,3.858428
229,longdress,driving_B_2019.12.17_07.32.39.csv,1173,-42.1412,-42.14,-42.14,0.9069,4.866544
230,loot,static_B_2019.12.16_13.40.04.csv,1201,22.2925,22.29,22.29,0.9065,4.143053
231,redandblack,driving_B_2019.12.17_07.32.39.csv,2133,-91.9441,-91.94,-91.94,0.9060,4.294206
232,soldier,static_B_2020.02.27_18.39.27.csv,547,-311.2670,-311.27,-311.27,0.9056,4.559584
233,longdress,static_B_2019.12.16_13.40.04.csv,1021,-7.8316,-7.83,-7.83,0.9052,4.447555
234,loot,driving_B_2020.02.13_15.02.01.csv,611,-58.3822,-58.38,-58.38,0.9048,3.990497
235,redandblack,driving_B_2020.02.13_15.02.01.csv,1511,-117.8819,-117.88,-117.88,0.9044,4.098213
236,soldier,static_B_2020.02.27_18.39.27.csv,4087,26.1906,26.19,26.19,0.9040,3.959199
237,longdress,driving_B_2020.02.13_13.03.24.csv,1207,-91.4611,-91.46,-91.46,0.9036,3.608338
238,loot,static_B_2020.02.27_18.39.27.csv,3487,47.7090,47.71,47.71,0.9032,4.794436
239,redandblack,static_B_2020.02.27_18.39.27.csv,3607,19.9622,19.96,19.96,0.9028,4.500707
240,soldier,static_B_2019.12.16_13.40.04.csv,1441,47.0575,47.06,47.06,0.9024,4.526386
241,longdress,static_B_2019.12.16_13.40.04.csv,1801,29.4363,29.44,29.44,0.9020,4.016940
242,loot,static_B_2020.02.27_18.39.27.csv,667,53.0535,53.05,53.05,0.9016,4.232501
243,redandblack,static_B_2019.12.16_13.40.04.csv,1081,37.1284,37.13,37.13,0.9012,3.664450
244,soldier,driving_B_2020.02.14_12.58.17.csv,14,-1.7047,-1.70,-1.70,0.9008,3.768176
245,longdress,driving_B_2020.01.16_09.56.56.csv,644,5.5058,5.51,5.51,0.9004,3.673557
246,loot,driving_B_2020.02.14_12.58.17.csv,734,-234.1896,-234.19,-234.19,0.8999,4.056041
247,redandblack,driving_B_2020.02.14_09.38.22.csv,1284,30.3080,30.31,30.31,0.8995,4.032316
248,soldier,driving_B_2019.12.16_12.27.05.csv,1152,0.1049,0.10,0.10,0.8991,4.023539
249,longdress,driving_B_2019.12.16_12.27.05.csv,86,-46.0187,-46.02,-46.02,0.8987,4.717581
250,loot,static_B_2020.02.27_18.39.27.csv,2347,-312.8168,-312.82,-312.82,0.8983,3.748299
251,redandblack,driving_B_2020.02.27_17.30.15.csv,678,-122.8834,-122.88,-122.88,0.8979,4.372294
252,soldier,driving_B_2020.02.13_13.03.24.csv,7,-74.4213,-74.42,-74.42,0.8975,3.967139
253,longdress,static_B_2020.02.27_18.39.27.csv,5467,42.6302,42.63,42.63,0.8971,4.434276
254,loot,driving_B_2020.01.16_07.26.43.csv,1354,-97.2302,-97.23,-97.23,0.8967,4.154086
255,redandblack,static_B_2020.02.14_13.21.26.csv,74,35.6982,35.70,35.70,0.8963,4.484756
256,soldier,driving_B_2020.02.13_13.03.24.csv,2167,-436.3524,-436.35,-436.35,0.8959,4.067395
257,longdress,static_B_2020.02.27_18.39.27.csv,607,22.7036,22.70,22.70,0.8955,3.797911
