# C:\Users\Nima\AppData\Local\Programs\Python\Python313\python.exe -u C:\Users\Nima\PointCloudStreaming\train_dqn.py --out C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_130607_full\sweep\trial_002_s45\abr_dqn.pkl --run-dir C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_130607_full\sweep\trial_002_s45 --coverage-stride 60 --epochs 8 --eval-every 100 --eval-seeds 42,43,44 --lam 1.0 --lr 0.0001 --mu 4.3 --no-lstm-pred --playback-rate-min 0.9 --reward-spec {"stall_mode": "bounded", "stall_cap_s": 2.0, "event_penalty": 2.0} --seed 45 --segment-frames 5 --select-by qoe_quality --target-update 3000
==========================================================================================
🤖 DQN ABR training
   sequences: ['longdress', 'loot', 'redandblack', 'soldier'] | eval sequence: longdress
   train files: 4 | test files: 1 | frames/episode: 300
   coverage stride: 60 samples -> 199 episodes/epoch x 8 epochs = 1592 episodes (~95520 env steps)
   segment: 5 frames/request (60 decisions/episode) | playback-rate-min: 0.9 | eval seeds: [42, 43, 44]
   state_dim: 22 | actions: 6 | feature_spec: ['buffer', 'last_rep_onehot', 'tput_last', 'tput_mean', 'tput_std', 'rep_bitrates', 'rep_densities']
   reward: q[log_density] - 4.3*min(stall,2.0) + 2.0*new_event - 1.0*|dq|  (gamma=0.99, lr=0.0001, reward_norm=True, reward_scale=1.0)
   select-by: qoe_quality | out: C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_130607_full\sweep\trial_002_s45\abr_dqn.pkl | run-dir: C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_130607_full\sweep\trial_002_s45
==========================================================================================
[eval @ ep 0] untrained: reward=255.88 qoe=46.0 qoe_q=84.9
[ep   89] longdress    static_B_2019.12.16_13.40.04.csv@356   reward=  102.59 qoe=  31.4 qoe_q=   -0.2 eps=0.912 loss=0.1396
[ep   90] loot         static_B_2020.02.27_18.39.27.csv@2822  reward=  178.66 qoe=  46.0 qoe_q=   45.7 eps=0.911 loss=0.1447
[ep   91] redandblack  static_B_2020.02.27_18.39.27.csv@1982  reward=  156.31 qoe=  59.8 qoe_q=   28.5 eps=0.910 loss=0.1350
[ep   92] soldier      static_B_2020.02.27_18.39.27.csv@242   reward=  189.20 qoe= 100.0 qoe_q=   49.1 eps=0.909 loss=0.1476
[ep   93] longdress    static_B_2020.02.27_18.39.27.csv@3542  reward=  160.35 qoe=  35.9 qoe_q=   12.6 eps=0.908 loss=0.1365
[ep   94] loot         static_B_2020.02.27_18.39.27.csv@62    reward=  171.52 qoe=  42.0 qoe_q=   41.3 eps=0.907 loss=0.1353
[ep   95] redandblack  static_B_2020.02.13_13.57.29.csv@904   reward=  136.02 qoe=  16.8 qoe_q=    7.8 eps=0.906 loss=0.1544
[ep   96] soldier      static_B_2020.02.27_18.39.27.csv@4202  reward=  130.42 qoe=   0.0 qoe_q=  -60.5 eps=0.905 loss=0.1309
[ep   97] longdress    static_B_2020.02.27_18.39.27.csv@3362  reward=  170.43 qoe=  64.0 qoe_q=   40.4 eps=0.904 loss=0.1418
[ep   98] loot         static_B_2020.02.27_18.39.27.csv@182   reward=  157.49 qoe=  77.0 qoe_q=   36.0 eps=0.903 loss=0.1573
[ep   99] redandblack  static_B_2020.02.13_13.57.29.csv@1564  reward=  164.27 qoe= 100.0 qoe_q=   34.2 eps=0.902 loss=0.1395
[ep  100] soldier      static_B_2020.02.27_18.39.27.csv@1382  reward=  165.75 qoe=  90.0 qoe_q=   39.4 eps=0.901 loss=0.1431
    [eval @ ep 100] reward=262.25 qoe=73.6 qoe_q=80.8 mean_q=0.955 stall=3.3s  <-- best (saved)
[ep  101] longdress    static_B_2020.02.27_18.39.27.csv@1022  reward=  151.63 qoe=  72.6 qoe_q=   24.8 eps=0.900 loss=0.1497
[ep  102] loot         static_B_2020.02.13_13.57.29.csv@64    reward=  129.00 qoe=  58.9 qoe_q=   14.9 eps=0.899 loss=0.3797
[ep  103] redandblack  static_B_2020.02.27_18.39.27.csv@842   reward=  173.48 qoe= 100.0 qoe_q=   41.4 eps=0.898 loss=0.1690
[ep  104] soldier      static_B_2020.02.13_13.57.29.csv@2104  reward=   80.33 qoe=   0.0 qoe_q=  -15.7 eps=0.897 loss=0.1864
[ep  105] longdress    static_B_2020.02.27_18.39.27.csv@5402  reward=  187.44 qoe= 100.0 qoe_q=   49.8 eps=0.896 loss=0.2032
[ep  106] loot         static_B_2020.02.14_13.21.26.csv@745   reward=  192.19 qoe=  46.0 qoe_q=   51.1 eps=0.895 loss=0.1762
[ep  107] redandblack  static_B_2020.02.27_18.39.27.csv@3302  reward=  175.78 qoe=  84.0 qoe_q=   43.5 eps=0.894 loss=0.1727
[ep  108] soldier      static_B_2019.12.16_13.40.04.csv@1376  reward=  131.27 qoe=   0.0 qoe_q=  -59.9 eps=0.893 loss=0.1706
[ep  109] longdress    static_B_2020.02.27_18.39.27.csv@4262  reward=  171.93 qoe= 100.0 qoe_q=   41.7 eps=0.892 loss=0.1762
[ep  110] loot         static_B_2020.02.13_13.57.29.csv@1324  reward=  105.01 qoe=  28.3 qoe_q=   -2.4 eps=0.891 loss=0.1850
[ep  111] redandblack  static_B_2020.02.13_13.57.29.csv@964   reward=   33.32 qoe=   0.0 qoe_q= -397.3 eps=0.890 loss=0.1859
[ep  112] soldier      static_B_2019.12.16_13.40.04.csv@596   reward=  131.66 qoe=  49.3 qoe_q=   -3.7 eps=0.889 loss=0.1872
[ep  113] longdress    static_B_2019.12.16_13.40.04.csv@656   reward=  177.31 qoe= 100.0 qoe_q=   43.0 eps=0.888 loss=0.1580
[ep  114] loot         static_B_2020.02.27_18.39.27.csv@4082  reward=  174.62 qoe=  42.0 qoe_q=   43.9 eps=0.887 loss=0.1764
[ep  115] redandblack  static_B_2019.12.16_13.40.04.csv@1856  reward=  124.74 qoe=   0.0 qoe_q= -276.1 eps=0.886 loss=0.1820
[ep  116] soldier      static_B_2020.02.14_13.21.26.csv@850   reward=  166.69 qoe=  46.2 qoe_q=   10.4 eps=0.885 loss=0.1833
[ep  117] longdress    static_B_2020.02.27_18.39.27.csv@5582  reward=  197.58 qoe=  96.0 qoe_q=   54.0 eps=0.884 loss=0.1859
[ep  118] loot         static_B_2019.12.16_13.40.04.csv@296   reward=  165.15 qoe=  66.0 qoe_q=   27.6 eps=0.883 loss=0.1776
[ep  119] redandblack  static_B_2020.02.27_18.39.27.csv@2222  reward=  198.12 qoe= 100.0 qoe_q=   53.7 eps=0.882 loss=0.2037
[ep  120] soldier      static_B_2020.02.13_13.57.29.csv@2944  reward=  155.77 qoe= 100.0 qoe_q=   35.7 eps=0.881 loss=0.1755
[ep  121] longdress    static_B_2020.02.13_13.57.29.csv@1924  reward=  153.03 qoe=  75.6 qoe_q=   27.5 eps=0.880 loss=0.1859
[ep  122] loot         static_B_2019.12.16_13.40.04.csv@176   reward=  175.10 qoe= 100.0 qoe_q=   44.1 eps=0.879 loss=0.1704
[ep  123] redandblack  static_B_2020.02.27_18.39.27.csv@4502  reward=  180.31 qoe=  71.4 qoe_q=   36.3 eps=0.878 loss=0.1861
[ep  124] soldier      static_B_2020.02.27_18.39.27.csv@4322  reward=  146.77 qoe=  62.0 qoe_q=   21.5 eps=0.877 loss=0.1846
[ep  125] longdress    static_B_2020.02.27_18.39.27.csv@4682  reward=  159.69 qoe=  51.6 qoe_q=   22.9 eps=0.876 loss=0.1893
[ep  126] loot         static_B_2020.02.13_13.57.29.csv@2344  reward=  153.57 qoe=  74.1 qoe_q=   24.4 eps=0.875 loss=0.1964
