[ep  159] redandblack  static_B_2020.02.27_18.39.27.csv@4718  reward=QoE=   18.77 eps=0.828 loss=2.6578
[ep  160] soldier      driving_B_2020.02.14_12.58.17.csv@524   reward=QoE= -120.92 eps=0.826 loss=2.5831
[ep  161] longdress    driving_B_2019.12.17_07.32.39.csv@858   reward=QoE=  -15.49 eps=0.825 loss=2.6475
[ep  162] loot         static_B_2020.02.14_13.21.26.csv@629   reward=QoE=   43.36 eps=0.824 loss=2.1447
[ep  163] redandblack  static_B_2020.02.14_13.21.26.csv@449   reward=QoE=   59.18 eps=0.823 loss=2.4016
[ep  164] soldier      static_B_2020.02.27_18.39.27.csv@278   reward=QoE=   43.36 eps=0.822 loss=2.3615
[ep  165] longdress    driving_B_2020.01.16_09.56.56.csv@1488  reward=QoE=   29.78 eps=0.821 loss=2.5137
[ep  166] loot         driving_B_2020.01.16_07.26.43.csv@1604  reward=QoE=  -63.86 eps=0.820 loss=2.4221
[ep  167] redandblack  driving_B_2019.12.16_12.27.05.csv@962   reward=QoE=   38.18 eps=0.819 loss=2.6034
[ep  168] soldier      static_B_2019.12.16_13.40.04.csv@1746  reward=QoE=   41.13 eps=0.818 loss=2.4565
[ep  169] longdress    driving_B_2020.01.16_09.56.56.csv@888   reward=QoE=  -28.82 eps=0.817 loss=2.3547
[ep  170] loot         driving_B_2020.01.16_09.56.56.csv@1548  reward=QoE=   42.74 eps=0.816 loss=2.0636
[ep  171] redandblack  static_B_2020.02.27_18.39.27.csv@5198  reward=QoE=   21.79 eps=0.815 loss=2.5228
[ep  172] soldier      driving_B_2019.12.17_07.32.39.csv@1338  reward=QoE=   16.53 eps=0.813 loss=2.4549
[ep  173] longdress    static_B_2020.02.27_18.39.27.csv@878   reward=QoE=   37.21 eps=0.812 loss=2.4578
[ep  174] loot         driving_B_2019.12.16_12.27.05.csv@902   reward=QoE=   50.25 eps=0.811 loss=2.4317
[ep  175] redandblack  driving_B_2020.02.13_15.02.01.csv@1823  reward=QoE=   50.45 eps=0.810 loss=2.3329
[ep  176] soldier      static_B_2019.12.16_13.40.04.csv@726   reward=QoE=   30.50 eps=0.809 loss=2.2929
[ep  177] longdress    driving_B_2019.12.17_07.32.39.csv@1758  reward=QoE= -184.97 eps=0.808 loss=2.2773
[ep  178] loot         static_B_2020.02.27_18.39.27.csv@2978  reward=QoE=   67.01 eps=0.807 loss=2.1483
[ep  179] redandblack  driving_B_2019.12.17_07.32.39.csv@2288  reward=QoE=   23.70 eps=0.806 loss=2.6151
[ep  180] soldier      static_B_2019.12.16_13.40.04.csv@1686  reward=QoE=   39.59 eps=0.805 loss=2.0736
[ep  181] longdress    driving_B_2019.12.17_07.32.39.csv@78    reward=QoE=  -16.86 eps=0.804 loss=2.1470
[ep  182] loot         static_B_2020.02.27_18.39.27.csv@5498  reward=QoE=   72.48 eps=0.803 loss=2.1787
[ep  183] redandblack  driving_B_2020.02.13_15.02.01.csv@1463  reward=QoE=  -59.09 eps=0.802 loss=2.6205
[ep  184] soldier      driving_B_2020.02.14_12.58.17.csv@764   reward=QoE= -174.49 eps=0.800 loss=2.2961
[ep  185] longdress    driving_B_2020.02.14_09.38.22.csv@942   reward=QoE=   43.13 eps=0.799 loss=2.5354
[ep  186] loot         driving_B_2019.12.16_12.27.05.csv@362   reward=QoE=    3.56 eps=0.798 loss=2.3479
[ep  187] redandblack  driving_B_2020.02.13_13.03.24.csv@1709  reward=QoE=   36.91 eps=0.797 loss=2.4033
[ep  188] soldier      static_B_2020.02.27_18.39.27.csv@3518  reward=QoE=   46.71 eps=0.796 loss=2.1744
[ep  189] longdress    static_B_2020.02.27_18.39.27.csv@1058  reward=QoE=   47.04 eps=0.795 loss=2.3709
[ep  190] loot         driving_B_2020.02.14_09.38.22.csv@162   reward=QoE=  -98.21 eps=0.794 loss=2.2244
[ep  191] redandblack  driving_B_2020.02.14_09.38.22.csv@1122  reward=QoE=  -40.01 eps=0.793 loss=2.2634
[ep  192] soldier      static_B_2020.02.27_18.39.27.csv@578   reward=QoE=   -4.87 eps=0.792 loss=2.6243
[ep  193] longdress    static_B_2020.02.27_18.39.27.csv@3398  reward=QoE=   48.65 eps=0.791 loss=2.4833
[ep  194] loot         static_B_2020.02.27_18.39.27.csv@338   reward=QoE=   43.18 eps=0.790 loss=2.4123
[ep  195] redandblack  driving_B_2020.02.14_12.58.17.csv@104   reward=QoE=  -20.02 eps=0.788 loss=2.0161
[ep  196] soldier      static_B_2020.02.27_18.39.27.csv@5742  reward=QoE=   61.33 eps=0.787 loss=2.1476
[ep  197] longdress    driving_B_2020.01.16_09.56.56.csv@1128  reward=QoE=   -1.10 eps=0.786 loss=2.2440
[ep  198] loot         driving_B_2020.02.13_15.02.01.csv@2603  reward=QoE=   54.18 eps=0.785 loss=2.2490
[ep  199] redandblack  driving_B_2020.01.16_09.56.56.csv@1008  reward=QoE=   57.26 eps=0.784 loss=2.1612
[ep  200] soldier      driving_B_2020.02.13_13.03.24.csv@1769  reward=QoE=  -65.84 eps=0.783 loss=2.1855
[ep  201] longdress    driving_B_2020.02.13_15.02.01.csv@2243  reward=QoE=   42.50 eps=0.782 loss=2.3987
[ep  202] loot         driving_B_2020.01.16_12.10.03.csv@189   reward=QoE=   51.93 eps=0.781 loss=2.3832
[ep  203] redandblack  static_B_2020.02.27_18.39.27.csv@3578  reward=QoE=   20.90 eps=0.780 loss=3.2370
[ep  204] soldier      driving_B_2020.02.13_15.02.01.csv@1583  reward=QoE= -445.88 eps=0.779 loss=2.4471
[ep  205] longdress    static_B_2020.02.27_18.39.27.csv@4118  reward=QoE=   57.33 eps=0.778 loss=2.5122
[ep  206] loot         static_B_2020.02.27_18.39.27.csv@3158  reward=QoE= -333.63 eps=0.777 loss=2.6125
[ep  207] redandblack  driving_B_2020.02.13_15.02.01.csv@2723  reward=QoE=  -48.26 eps=0.775 loss=2.4756
[ep  208] soldier      driving_B_2020.02.14_09.38.22.csv@762   reward=QoE=   -7.56 eps=0.774 loss=2.5495
[ep  209] longdress    static_B_2020.02.27_18.39.27.csv@1358  reward=QoE=   51.42 eps=0.773 loss=2.6369
[ep  210] loot         driving_B_2020.01.16_07.26.43.csv@944   reward=QoE=  -73.15 eps=0.772 loss=2.4169
